sheet,column,gap_status,candidate_current_tables,candidate_any_schema,rationale
Header,Transporter,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.Transporter; VoucherDetails_Table.trans,EmailHistoryDetails_Table.Trans; Master_Preferences_Table.Transporter; Master_Preferences_Tablebak.Transporter; MasterDetails_Table.trans; PreviousYear_POSPartyDetails_Table.Transporter; SaudaHeaderDetails_Table.Transport; Transaction_EWBDetails_Table.TransporterName; Transaction_Header_Table.Transporter; Transaction_State_Table.Trans; TripsheetDetails_Table.Transporter; UnloadingSheetDetails_Table.Transporter; VoucherDetails_Table.trans,Matching column(s) exist in current connector table set.
Header,Vehicle No,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.VehicleNo; Transaction_ItemBody_Table.VehicleNo,FillingStationSummaryBill_Body_Table.VehicleNo; PDICheckListDetails_Table.Vehicle; PDIInspectionHeader_Table.Vehicle; PermitDetails_Table.VehicleNo; PreviousYear_POSPartyDetails_Table.VehicleNo; PreviousYear_POSSales_Table.VehicleNo; Services_LabourtoBeIssued_Table.Vehicle; Services_PartstoBeIssued_Table.Vehicle; TirePutOff_Header_Table.Vehicle; TirePutOn_Header_Table.Vehicle; Transaction_CloseServiceCallDetails_Table.Vehicle; Transaction_EWBDetails_Table.VehicleNo,Matching column(s) exist in current connector table set.
Header,Vehicle Type,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.VehicleType,Master_Measures_Table.Type; PDICheckListDetails_Table.Vehicle; PDIInspectionHeader_Table.Vehicle; PDIInspectionHeader_Table.Type; PreviousYear_POSPartyDetails_Table.VehicleType; Services_LabourtoBeIssued_Table.Vehicle; Services_PartstoBeIssued_Table.Vehicle; TirePutOff_Header_Table.Vehicle; TirePutOff_Header_Table.VehicleType; TirePutOn_Header_Table.Vehicle; TirePutOn_Header_Table.VehicleType; Transaction_CloseServiceCallDetails_Table.Vehicle,Matching column(s) exist in current connector table set.
Header,LR No,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.LRNo,LRBillDetails_Table.LRNo; LRReceiptDetails_Table.LRNo; PreviousYear_POSPartyDetails_Table.LRNo; Transaction_AdditionalCharges_Table.LRNo; Transaction_EWBDetails_Table.LRNo; Transaction_Header_Table.LRNo; Tripsheet_ItemDetails_Table.LRNo; UnloadingSheet_ItemDetails_Table.LRNo,Matching column(s) exist in current connector table set.
Header,LR Date,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.Date; Transaction_Header_Table.LRDate,ApparelPhysicalStockUpdate_Header_Table.Date; AppointmentsDetails_Table.Date; AssetBookDepreciation_Header_Table.Date; AssetInsurance_Header_Table.Date; AssetIssuedoutforMaintenance_Header_Table.Date; AssetMaintenanceContract_Header_Table.Date; AssetReceivedbackfromMaintenance_Header_Table.Date; Assets_ComponentDetails_Table.Date; Assets_GenerateAssetIdsDetails_Table.Date; AssetSale_Header_Table.Date; AssetStockLedger_Table.Date; AssetTaxDepreciation_Header_Table.Date,Matching column(s) exist in current connector table set.
Header,Ref VoucherSeries,FILLABLE_FROM_CURRENT_ERP_TABLES,Master_MasterCodes_Table.VoucherSeries; Master_RegistrationDetails_Table.VoucherSeries; Master_Table.VoucherSeries; Transaction_Header_Table.VoucherSeries; Transaction_Header_Table.ReferenceVoucherSeries; Transaction_ItemBody_Table.VoucherSeries; Transaction_ItemBody_Table.TVoucherSeries; Transaction_Payments_Table.VoucherSeries,AcadamicYearDetails_Table.VoucherSeries; Account_AccountGroup_Table.VoucherSeries; AccountingPeriod_Status_Table.VoucherSeries; AdvanceLicenseDetails_Table.VoucherSeries; An_CurrentStatus.VoucherSeries; An_SendMessage.VoucherSeries; Apparel_ReorderLevels_Table.VoucherSeries; ApparelPhysicalStockCheckedItems_Table.VoucherSeries; ApparelPhysicalStockUpdate_Barcode_Table.VoucherSeries; ApparelPhysicalStockUpdate_Header_Table.VoucherSeries; ApparelPhysicalStockUpdate_ItemBody_Table.VoucherSeries; ApplicationDetails_Table.VoucherSeries,Matching column(s) exist in current connector table set.
Header,Party Ref Date,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.Date; Transaction_Header_Table.PartyRefDoc; Transaction_Header_Table.PartyRefDocDate; Transaction_Payments_Table.SupplierInvDate,ApparelPhysicalStockUpdate_Header_Table.Date; ApparelPhysicalStockUpdate_ItemBody_Table.Supplier; AppointmentsDetails_Table.Date; AssetBookDepreciation_Header_Table.Date; AssetInsurance_Header_Table.Date; AssetIssuedoutforMaintenance_Header_Table.Date; AssetMaintenanceContract_Header_Table.Date; AssetReceivedbackfromMaintenance_Header_Table.Date; Assets_ComponentDetails_Table.Date; Assets_GenerateAssetIdsDetails_Table.Date; AssetSale_Header_Table.Date; AssetSale_Header_Table.Party,Matching column(s) exist in current connector table set.
Header,ServiceTaxAccount,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.Account,AssetSale_AdjustmentsBody_Table.Account; AssetSale_Reference_Table.Account; BillWiseBalances2020.Account; billwiseOpeningBalances.Account; BudgetDetails_Table.Account; deleteddutydrawback.Account; Diagnos_TransHeader_Table.Account; EmailHistoryDetails_Table.cc; FeeReceivableDetails_table.Account; FeeReceivedDetails_table.Account; LastYearCreditorBalances.Account; ledbak2118.Account,Matching column(s) exist in current connector table set.
Header,BEDAccount,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.Account,AssetSale_AdjustmentsBody_Table.Account; AssetSale_Reference_Table.Account; BillWiseBalances2020.Account; billwiseOpeningBalances.Account; BudgetDetails_Table.Account; deleteddutydrawback.Account; Diagnos_TransHeader_Table.Account; EmailHistoryDetails_Table.cc; FeeReceivableDetails_table.Account; FeeReceivedDetails_table.Account; LastYearCreditorBalances.Account; ledbak2118.Account,Matching column(s) exist in current connector table set.
Header,EdCessAccount,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.Account,AssetSale_AdjustmentsBody_Table.Account; AssetSale_Reference_Table.Account; BillWiseBalances2020.Account; billwiseOpeningBalances.Account; BudgetDetails_Table.Account; deleteddutydrawback.Account; Diagnos_TransHeader_Table.Account; EmailHistoryDetails_Table.cc; FeeReceivableDetails_table.Account; FeeReceivedDetails_table.Account; GST3B_EligibleITCBody_Table.Cess; GST3B_OutwardandInwardSuppliesBody_Table.Cess,Matching column(s) exist in current connector table set.
Header,SHEdCessAccount,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.Account,AssetSale_AdjustmentsBody_Table.Account; AssetSale_Reference_Table.Account; BillWiseBalances2020.Account; billwiseOpeningBalances.Account; BudgetDetails_Table.Account; deleteddutydrawback.Account; Diagnos_TransHeader_Table.Account; EmailHistoryDetails_Table.cc; FeeReceivableDetails_table.Account; FeeReceivedDetails_table.Account; GST3B_EligibleITCBody_Table.Cess; GST3B_OutwardandInwardSuppliesBody_Table.Cess,Matching column(s) exist in current connector table set.
Header,ImportDutyAccount,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.Account,AssetSale_AdjustmentsBody_Table.Account; AssetSale_Reference_Table.Account; BillWiseBalances2020.Account; billwiseOpeningBalances.Account; BudgetDetails_Table.Account; deleteddutydrawback.Account; Diagnos_TransHeader_Table.Account; EmailHistoryDetails_Table.cc; FeeReceivableDetails_table.Account; FeeReceivedDetails_table.Account; LastYearCreditorBalances.Account; ledbak2118.Account,Matching column(s) exist in current connector table set.
Header,CSTAccount,FILLABLE_FROM_CURRENT_ERP_TABLES,Master_RegistrationDetails_Table.CST; Transaction_Header_Table.Account; Transaction_ItemBody_Table.CST; Transaction_ItemBody_Table.BodyCSTAccount,AssetSale_AdjustmentsBody_Table.Account; AssetSale_Reference_Table.Account; BillWiseBalances2020.Account; billwiseOpeningBalances.Account; BudgetDetails_Table.Account; CompanyDetails_Table.cst; deleteddutydrawback.Account; Diagnos_TransHeader_Table.Account; EmailHistoryDetails_Table.cc; FeeReceivableDetails_table.Account; FeeReceivedDetails_table.Account; LastYearCreditorBalances.Account,Matching column(s) exist in current connector table set.
Header,VATAccount,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.Account; Transaction_ItemBody_Table.VAT; Transaction_ItemBody_Table.BodyVATAccount,AssetSale_AdjustmentsBody_Table.Account; AssetSale_Reference_Table.Account; BillWiseBalances2020.Account; billwiseOpeningBalances.Account; BudgetDetails_Table.Account; deleteddutydrawback.Account; Diagnos_TransHeader_Table.Account; EmailHistoryDetails_Table.cc; FeeReceivableDetails_table.Account; FeeReceivedDetails_table.Account; LastYearCreditorBalances.Account; ledbak2118.Account,Matching column(s) exist in current connector table set.
Header,AddlVATAccount,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.Account; Transaction_ItemBody_Table.VAT; Transaction_ItemBody_Table.AddlVAT,AssetSale_AdjustmentsBody_Table.Account; AssetSale_Reference_Table.Account; BillWiseBalances2020.Account; billwiseOpeningBalances.Account; BudgetDetails_Table.Account; deleteddutydrawback.Account; Diagnos_TransHeader_Table.Account; EmailHistoryDetails_Table.cc; FeeReceivableDetails_table.Account; FeeReceivedDetails_table.Account; LastYearCreditorBalances.Account; ledbak2118.Account,Matching column(s) exist in current connector table set.
Header,CGSTAccount,FILLABLE_FROM_CURRENT_ERP_TABLES,Master_RegistrationDetails_Table.GST; Transaction_Header_Table.Account; Transaction_Header_Table.CGSTAccount; Transaction_ItemBody_Table.CGST; Transaction_Payments_Table.CGST,AssetSale_AdjustmentsBody_Table.Account; AssetSale_Reference_Table.Account; BillWiseBalances2020.Account; billwiseOpeningBalances.Account; BudgetDetails_Table.Account; CompanyDetails_Table.gst; CoverNoteItemDetails_Table.CGST; DebtorsAddressToImport.GST; deleteddutydrawback.Account; Diagnos_TransHeader_Table.Account; EFIProductsTable.CGST; EmailHistoryDetails_Table.cc,Matching column(s) exist in current connector table set.
Header,SGSTAccount,FILLABLE_FROM_CURRENT_ERP_TABLES,Master_RegistrationDetails_Table.GST; Transaction_Header_Table.Account; Transaction_Header_Table.SGSTAccount; Transaction_ItemBody_Table.SGST; Transaction_Payments_Table.SGST,AssetSale_AdjustmentsBody_Table.Account; AssetSale_Reference_Table.Account; BillWiseBalances2020.Account; billwiseOpeningBalances.Account; BudgetDetails_Table.Account; CompanyDetails_Table.gst; CoverNoteItemDetails_Table.SGST; DebtorsAddressToImport.GST; deleteddutydrawback.Account; Diagnos_TransHeader_Table.Account; EFIProductsTable.SGST; EmailHistoryDetails_Table.cc,Matching column(s) exist in current connector table set.
Header,IGSTAccount,FILLABLE_FROM_CURRENT_ERP_TABLES,Master_RegistrationDetails_Table.GST; Transaction_Header_Table.Account; Transaction_Header_Table.IGSTAccount; Transaction_ItemBody_Table.IGST; Transaction_Payments_Table.IGST,AssetSale_AdjustmentsBody_Table.Account; AssetSale_Reference_Table.Account; BillWiseBalances2020.Account; billwiseOpeningBalances.Account; BudgetDetails_Table.Account; CompanyDetails_Table.gst; CoverNoteItemDetails_Table.IGST; DebtorsAddressToImport.GST; deleteddutydrawback.Account; Diagnos_TransHeader_Table.Account; EFIProductsTable.IGST; EmailHistoryDetails_Table.cc,Matching column(s) exist in current connector table set.
Header,TCS Payable Ac,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.Account; Transaction_Header_Table.TCSPayableAc,AssetSale_AdjustmentsBody_Table.Account; AssetSale_Reference_Table.Account; AutoCRM_OrderPriceDetails_Table.Payable; BillWiseBalances2020.Account; billwiseOpeningBalances.Account; BudgetDetails_Table.Account; deleteddutydrawback.Account; Diagnos_TransHeader_Table.Account; EmailHistoryDetails_Table.cc; FeeReceivableDetails_table.Account; FeeReceivedDetails_table.Account; LastYearCreditorBalances.Account,Matching column(s) exist in current connector table set.
